Tongue_area_Interval Max,Tongue_area_interval_detection_Interval Start,Tongue_area_interval_detection_Interval End,Tongue_area_interval_detection_Interval Duration,Tongue_area_interval_detection_group_intervals_Interval Overlap Assign ID
715.000,340.000,352.000,12.000,0
586.000,374.000,387.000,13.000,0
492.000,412.000,419.000,7.000,0
340.000,541.000,549.000,8.000,1
478.000,2236.000,2242.000,6.000,2
841.000,2260.000,2269.000,9.000,2
501.000,2293.000,2297.000,4.000,2
1055.000,2316.000,2328.000,12.000,2
448.000,2350.000,2353.000,3.000,2
431.000,2376.000,2381.000,5.000,2
987.000,2403.000,2413.000,10.000,2
918.000,2435.000,2444.000,9.000,2
1044.000,2466.000,2477.000,11.000,2
1027.000,2500.000,2511.000,11.000,2
839.000,2537.000,2546.000,9.000,2
331.000,3724.000,3727.000,3.000,3
393.000,3824.000,3833.000,9.000,3
535.000,3864.000,3875.000,11.000,3
590.000,3904.000,3916.000,12.000,3
471.000,6568.000,6575.000,7.000,4
503.000,6598.000,6607.000,9.000,4
656.000,6629.000,6637.000,8.000,4
533.000,6660.000,6667.000,7.000,4
950.000,6690.000,6703.000,13.000,4
799.000,10266.000,10276.000,10.000,5
498.000,10294.000,10298.000,4.000,5
704.000,10343.000,10350.000,7.000,5
697.000,10373.000,10380.000,7.000,5
406.000,10405.000,10408.000,3.000,5
1223.000,10431.000,10441.000,10.000,5
498.000,10467.000,10472.000,5.000,5
1199.000,10497.000,10509.000,12.000,5
427.000,10536.000,10540.000,4.000,5
591.000,10567.000,10575.000,8.000,5
514.000,10602.000,10607.000,5.000,5
966.000,10632.000,10645.000,13.000,5
382.000,10672.000,10675.000,3.000,5
326.000,14529.000,14532.000,3.000,6
351.000,16150.000,16153.000,3.000,7
623.000,16170.000,16180.000,10.000,7
662.000,16201.000,16207.000,6.000,7
359.000,16228.000,16232.000,4.000,7
653.000,16307.000,16315.000,8.000,7
503.000,16337.000,16342.000,5.000,7
1323.000,16364.000,16375.000,11.000,7
368.000,16403.000,16406.000,3.000,7
1344.000,16427.000,16439.000,12.000,7
766.000,16463.000,16471.000,8.000,7
561.000,18222.000,18229.000,7.000,8
717.000,18253.000,18263.000,10.000,8
854.000,18285.000,18296.000,11.000,8
1011.000,18322.000,18332.000,10.000,8
991.000,18357.000,18370.000,13.000,8
404.000,21304.000,21307.000,3.000,9
534.000,21333.000,21340.000,7.000,9
359.000,22783.000,22788.000,5.000,10
664.000,25106.000,25114.000,8.000,11
883.000,25136.000,25145.000,9.000,11
429.000,25165.000,25170.000,5.000,11
759.000,25190.000,25198.000,8.000,11
649.000,25219.000,25226.000,7.000,11
810.000,25248.000,25256.000,8.000,11
1002.000,25306.000,25316.000,10.000,11
744.000,25341.000,25348.000,7.000,11
1250.000,25371.000,25383.000,12.000,11
429.000,27021.000,27028.000,7.000,12
584.000,27054.000,27064.000,10.000,12
606.000,27090.000,27101.000,11.000,12
469.000,27127.000,27130.000,3.000,12
605.000,29079.000,29087.000,8.000,13
371.000,29116.000,29122.000,6.000,13
451.000,29270.000,29282.000,12.000,14
827.000,29307.000,29319.000,12.000,14
738.000,29407.000,29422.000,15.000,14
993.000,31576.000,31588.000,12.000,15
1384.000,31609.000,31622.000,13.000,15
844.000,31641.000,31649.000,8.000,15
1173.000,31670.000,31680.000,10.000,15
386.000,31706.000,31709.000,3.000,15
993.000,31733.000,31741.000,8.000,15
497.000,31769.000,31774.000,5.000,15
983.000,31799.000,31809.000,10.000,15
717.000,31835.000,31843.000,8.000,15
1054.000,31869.000,31880.000,11.000,15
808.000,32091.000,32103.000,12.000,16
895.000,32128.000,32137.000,9.000,16
631.000,33714.000,33723.000,9.000,17
551.000,33749.000,33758.000,9.000,17
439.000,33785.000,33789.000,4.000,17
496.000,36100.000,36106.000,6.000,18
418.000,36136.000,36142.000,6.000,18
851.000,36167.000,36178.000,11.000,18
730.000,36203.000,36213.000,10.000,18
382.000,39052.000,39058.000,6.000,19
755.000,39080.000,39087.000,7.000,19
511.000,39111.000,39113.000,2.000,19
758.000,39135.000,39143.000,8.000,19
465.000,39164.000,39169.000,5.000,19
989.000,39191.000,39200.000,9.000,19
445.000,39226.000,39231.000,5.000,19
793.000,39256.000,39265.000,9.000,19
553.000,39291.000,39297.000,6.000,19
903.000,39322.000,39331.000,9.000,19
643.000,41198.000,41207.000,9.000,20
678.000,41231.000,41242.000,11.000,20
851.000,41265.000,41273.000,8.000,20
812.000,41296.000,41307.000,11.000,20
469.000,42949.000,42957.000,8.000,21
872.000,43007.000,43018.000,11.000,21
784.000,43043.000,43054.000,11.000,21
613.000,43139.000,43148.000,9.000,21
335.000,43182.000,43184.000,2.000,21
388.000,43247.000,43255.000,8.000,21
510.000,45407.000,45410.000,3.000,22
914.000,45431.000,45439.000,8.000,22
431.000,45460.000,45464.000,4.000,22
963.000,45485.000,45494.000,9.000,22
713.000,45541.000,45548.000,7.000,22
503.000,45572.000,45577.000,5.000,22
865.000,45601.000,45610.000,9.000,22
851.000,45633.000,45641.000,8.000,22
1371.000,45663.000,45675.000,12.000,22
339.000,45702.000,45704.000,2.000,22
490.000,46987.000,46995.000,8.000,23
589.000,47021.000,47030.000,9.000,23
907.000,47054.000,47065.000,11.000,23
943.000,47088.000,47100.000,12.000,23
528.000,48816.000,48825.000,9.000,24
533.000,48851.000,48859.000,8.000,24
338.000,48921.000,48923.000,2.000,24
870.000,48948.000,48966.000,18.000,24
