Tongue_area_Interval Max,Tongue_area_interval_detection_Interval Start,Tongue_area_interval_detection_Interval End,Tongue_area_interval_detection_Interval Duration,Tongue_area_interval_detection_group_intervals_Interval Overlap Assign ID
1974.000,25389.000,25416.000,27.000,34
2124.000,25437.000,25464.000,27.000,34
1748.000,26349.000,26377.000,28.000,35
2179.000,27630.000,27670.000,40.000,36
2913.000,27683.000,27705.000,22.000,36
2019.000,27722.000,27746.000,24.000,36
2253.000,28286.000,28329.000,43.000,37
2613.000,28340.000,28359.000,19.000,37
2729.000,28374.000,28395.000,21.000,37
2535.000,28412.000,28432.000,20.000,37
2051.000,28451.000,28467.000,16.000,37
1709.000,28490.000,28502.000,12.000,37
2103.000,28732.000,28755.000,23.000,38
2596.000,29102.000,29128.000,26.000,39
1369.000,29163.000,29184.000,21.000,39
2318.000,29768.000,29799.000,31.000,40
2640.000,30162.000,30191.000,29.000,41
2268.000,30447.000,30485.000,38.000,42
2086.000,32453.000,32475.000,22.000,43
2379.000,32501.000,32541.000,40.000,43
1812.000,33996.000,34022.000,26.000,44
2076.000,34560.000,34593.000,33.000,45
2354.000,34615.000,34642.000,27.000,45
2081.000,34674.000,34709.000,35.000,45
2091.000,34845.000,34882.000,37.000,46
1930.000,36219.000,36260.000,41.000,47
2493.000,36271.000,36294.000,23.000,47
2497.000,36305.000,36329.000,24.000,47
2913.000,36344.000,36370.000,26.000,47
2773.000,36385.000,36412.000,27.000,47
3223.000,36427.000,36454.000,27.000,47
2297.000,36472.000,36492.000,20.000,47
2742.000,36509.000,36532.000,23.000,47
2482.000,36549.000,36569.000,20.000,47
2460.000,36588.000,36607.000,19.000,47
1851.000,36627.000,36643.000,16.000,47
1938.000,38097.000,38123.000,26.000,48
2510.000,38138.000,38161.000,23.000,48
1718.000,38187.000,38208.000,21.000,48
1718.000,38522.000,38549.000,27.000,49
1696.000,39303.000,39329.000,26.000,50
1946.000,39355.000,39380.000,25.000,50
1812.000,39426.000,39452.000,26.000,50
2272.000,40943.000,40973.000,30.000,51
2380.000,41147.000,41170.000,23.000,52
2083.000,41200.000,41227.000,27.000,52
2155.000,41485.000,41519.000,34.000,53
2079.000,44230.000,44257.000,27.000,54
2160.000,44276.000,44300.000,24.000,54
2313.000,44605.000,44637.000,32.000,55
2526.000,44657.000,44681.000,24.000,55
3026.000,44696.000,44722.000,26.000,55
2912.000,44738.000,44765.000,27.000,55
2733.000,44781.000,44805.000,24.000,55
2940.000,44821.000,44844.000,23.000,55
3045.000,44859.000,44883.000,24.000,55
3039.000,44899.000,44921.000,22.000,55
2991.000,44938.000,44960.000,22.000,55
2874.000,44978.000,45000.000,22.000,55
2982.000,45018.000,45041.000,23.000,55
3044.000,45059.000,45082.000,23.000,55
2667.000,45101.000,45123.000,22.000,55
2631.000,45143.000,45163.000,20.000,55
2835.000,45182.000,45203.000,21.000,55
2701.000,45222.000,45243.000,21.000,55
2757.000,45263.000,45283.000,20.000,55
3013.000,45303.000,45326.000,23.000,55
2748.000,45348.000,45370.000,22.000,55
2825.000,45389.000,45411.000,22.000,55
3079.000,45430.000,45454.000,24.000,55
3096.000,45473.000,45498.000,25.000,55
2837.000,45518.000,45541.000,23.000,55
3193.000,45559.000,45586.000,27.000,55
3022.000,45605.000,45629.000,24.000,55
2743.000,45649.000,45670.000,21.000,55
2967.000,45690.000,45714.000,24.000,55
2812.000,45734.000,45757.000,23.000,55
2763.000,45777.000,45801.000,24.000,55
2888.000,45821.000,45845.000,24.000,55
3048.000,45868.000,45892.000,24.000,55
2909.000,45912.000,45936.000,24.000,55
2708.000,45956.000,45979.000,23.000,55
443.000,46014.000,46019.000,5.000,55
386.000,46045.000,46051.000,6.000,55
1385.000,47906.000,47918.000,12.000,56
2316.000,47939.000,47960.000,21.000,56
2616.000,47976.000,47997.000,21.000,56
2468.000,48014.000,48038.000,24.000,56
1965.000,48062.000,48084.000,22.000,56
2123.000,48247.000,48275.000,28.000,57
2088.000,48301.000,48326.000,25.000,57
2413.000,48438.000,48468.000,30.000,58
2341.000,48720.000,48743.000,23.000,59
2490.000,49227.000,49255.000,28.000,60
2637.000,50067.000,50096.000,29.000,61
2134.000,51068.000,51098.000,30.000,62
2642.000,51118.000,51144.000,26.000,62
2076.000,52383.000,52412.000,29.000,63
2025.000,52438.000,52463.000,25.000,63
2012.000,52840.000,52875.000,35.000,64
2179.000,52894.000,52919.000,25.000,64
